,Date,Open,High,Low,Close,Adj Close,Volume,Company Symbol
0,2008-01-29,9.5,9.99,8.57,8.75,0.702589,1489000,AACG
1,2008-01-30,8.75,9.15,8.3,8.5,0.682516,219000,AACG
2,2008-01-31,8.49,10.3,8.49,9.55,0.766826,182300,AACG
3,2008-02-01,9.93,9.94,9.5,9.51,0.763614,28200,AACG
4,2008-02-04,9.5,9.71,9.5,9.5,0.762811,8300,AACG
5,2008-02-05,9.5,9.5,9.03,9.11,0.731496,29500,AACG
6,2008-02-06,9.0,9.43,8.67,9.0,0.722663,16000,AACG
7,2008-02-07,9.0,9.5,9.0,9.4,0.754782,6000,AACG
8,2008-02-08,9.12,9.29,9.0,9.01,0.723466,7900,AACG
9,2008-02-11,9.05,9.17,9.0,9.04,0.725875,3500,AACG
10,2008-02-12,9.05,9.17,9.0,9.1,0.730693,28900,AACG
11,2008-02-13,9.01,9.05,9.0,9.01,0.723466,13200,AACG
12,2008-02-14,9.09,9.09,9.0,9.06,0.727481,13100,AACG
13,2008-02-15,9.01,9.07,9.0,9.0,0.722663,10000,AACG
14,2008-02-19,9.2,9.25,9.1,9.2,0.738723,3100,AACG
15,2008-02-20,9.2,9.61,9.2,9.61,0.771644,23000,AACG
16,2008-02-21,9.53,10.3,9.53,9.9,0.79493,86500,AACG
17,2008-02-22,9.72,9.72,9.62,9.62,0.772447,3200,AACG
18,2008-02-25,9.55,9.55,9.3,9.48,0.761205,6600,AACG
19,2008-02-26,9.5,9.66,9.5,9.56,0.767629,7700,AACG
20,2008-02-27,9.62,9.72,9.51,9.51,0.763614,1700,AACG
21,2008-02-28,9.5,9.9,9.32,9.65,0.774856,6900,AACG
22,2008-02-29,9.54,10.4,9.54,10.3,0.827048,12100,AACG
23,2008-03-03,10.09,10.65,10.09,10.36,0.831866,12400,AACG
24,2008-03-04,10.11,10.25,10.06,10.2,0.819019,3600,AACG
25,2008-03-05,10.11,10.49,10.05,10.2,0.819019,5400,AACG
26,2008-03-06,10.25,10.44,10.2,10.2,0.819019,2400,AACG
27,2008-03-07,10.2,10.87,10.2,10.84,0.870408,10300,AACG
28,2008-03-10,10.48,11.34,10.46,11.34,0.910556,13300,AACG
29,2008-03-11,11.34,12.92,11.3,12.8,1.027788,21500,AACG
30,2008-03-12,12.59,12.67,12.15,12.32,0.989246,4400,AACG
31,2008-03-13,12.04,12.38,11.92,11.92,0.957128,14600,AACG
32,2008-03-14,11.82,12.29,11.5,11.8,0.947492,7600,AACG
33,2008-03-17,11.99,11.99,10.52,10.52,0.844713,8500,AACG
34,2008-03-18,10.93,10.93,10.2,10.2,0.819019,24300,AACG
35,2008-03-19,10.1,10.37,9.38,9.5,0.762811,33400,AACG
36,2008-03-20,10.14,10.75,9.35,9.54,0.766023,20200,AACG
37,2008-03-24,9.41,10.5,9.38,10.2,0.819019,4800,AACG
38,2008-03-25,10.05,10.51,10.0,10.5,0.843107,26900,AACG
39,2008-03-26,10.45,10.5,8.88,9.01,0.723466,68900,AACG
40,2008-03-27,9.16,9.43,8.02,9.05,0.726678,107400,AACG
41,2008-03-28,9.25,9.31,8.04,8.71,0.699378,80000,AACG
42,2008-03-31,8.62,9.04,8.52,8.86,0.711422,11600,AACG
43,2008-04-01,9.01,9.85,9.01,9.5,0.762811,4600,AACG
44,2008-04-02,9.55,9.7,8.96,9.48,0.761205,3400,AACG
45,2008-04-03,9.38,9.69,9.3,9.6,0.770841,2100,AACG
46,2008-04-04,9.45,11.91,9.45,11.02,0.884861,35100,AACG
47,2008-04-07,10.5,10.5,9.57,9.57,0.768432,38300,AACG
48,2008-04-08,9.71,10.2,9.53,10.2,0.819019,21000,AACG
49,2008-04-09,10.0,10.0,9.75,10.0,0.802959,28400,AACG
50,2008-04-10,9.81,10.2,9.78,9.78,0.785294,4500,AACG
51,2008-04-11,9.52,10.4,9.51,9.78,0.785294,4400,AACG
52,2008-04-14,9.78,10.18,9.78,10.05,0.806974,2800,AACG
53,2008-04-15,9.86,10.2,9.75,10.08,0.809383,22500,AACG
54,2008-04-16,10.17,10.3,10.17,10.3,0.827048,900,AACG
55,2008-04-17,10.26,10.41,10.21,10.4,0.835078,3400,AACG
56,2008-04-18,10.79,11.0,10.44,10.6,0.851137,4900,AACG
57,2008-04-21,11.03,11.84,10.6,10.75,0.863181,7500,AACG
58,2008-04-22,10.63,11.0,10.41,10.99,0.882452,20400,AACG
59,2008-04-23,10.98,11.0,10.52,10.62,0.852743,12400,AACG
60,2008-04-24,10.42,10.65,10.42,10.52,0.844713,6600,AACG
61,2008-04-25,10.51,10.94,10.5,10.5,0.843107,4400,AACG
62,2008-04-28,10.5,10.7,10.5,10.6,0.851137,9000,AACG
63,2008-04-29,10.5,10.65,10.45,10.5,0.843107,10600,AACG
64,2008-04-30,10.64,10.84,10.5,10.67,0.856758,16000,AACG
65,2008-05-01,10.55,10.55,10.5,10.52,0.844713,8000,AACG
66,2008-05-02,10.5,10.63,10.5,10.6,0.851137,5600,AACG
67,2008-05-05,10.54,10.9,10.5,10.55,0.847122,8000,AACG
68,2008-05-06,10.66,10.66,10.5,10.6,0.851137,5000,AACG
69,2008-05-07,10.75,11.0,10.75,10.8,0.867196,9900,AACG
70,2008-05-08,10.64,11.13,10.64,11.12,0.892891,2000,AACG
71,2008-05-09,10.9,10.9,10.6,10.9,0.875226,11500,AACG
72,2008-05-12,10.74,11.09,10.7,10.95,0.87924,1700,AACG
73,2008-05-13,11.0,11.57,11.0,11.12,0.892891,2700,AACG
74,2008-05-14,11.22,12.0,11.02,11.97,0.961142,18400,AACG
75,2008-05-15,11.72,12.0,11.06,11.97,0.961142,9900,AACG
76,2008-05-16,11.95,12.62,11.71,12.56,1.008517,15400,AACG
77,2008-05-19,12.5,14.75,12.5,14.6,1.172321,30200,AACG
78,2008-05-20,14.55,14.83,13.61,14.75,1.184365,30300,AACG
79,2008-05-21,14.67,16.08,14.5,16.07,1.290356,56800,AACG
80,2008-05-22,15.81,16.42,15.55,15.98,1.283129,78400,AACG
81,2008-05-23,15.74,17.450001,15.7,17.08,1.371455,210700,AACG
82,2008-05-27,16.299999,16.299999,14.95,15.35,1.232543,75000,AACG
83,2008-05-28,15.5,15.74,15.05,15.36,1.233346,33400,AACG
84,2008-05-29,15.4,15.4,15.0,15.4,1.236557,44200,AACG
85,2008-05-30,15.21,15.33,15.0,15.1,1.212469,10100,AACG
86,2008-06-02,15.25,15.4,15.24,15.31,1.229331,38000,AACG
87,2008-06-03,15.25,15.5,15.25,15.42,1.238163,12400,AACG
88,2008-06-04,15.41,15.99,15.15,15.77,1.266267,33200,AACG
89,2008-06-05,15.98,16.07,15.61,15.93,1.279114,14100,AACG
90,2008-06-06,15.9,16.01,15.2,15.2,1.220498,16400,AACG
91,2008-06-09,14.52,14.69,13.45,14.69,1.179547,62800,AACG
92,2008-06-10,14.15,14.68,13.75,14.39,1.155459,31700,AACG
93,2008-06-11,14.26,14.31,14.0,14.19,1.139399,4200,AACG
94,2008-06-12,14.15,14.4,14.15,14.31,1.149035,8000,AACG
95,2008-06-13,14.29,14.46,13.91,14.46,1.161079,5200,AACG
96,2008-06-16,14.3,14.71,14.3,14.6,1.172321,4100,AACG
97,2008-06-17,14.6,15.12,14.6,15.06,1.209257,28900,AACG
98,2008-06-18,15.15,15.2,14.92,15.03,1.206848,6900,AACG
99,2008-06-19,14.96,15.0,14.85,14.97,1.20203,7400,AACG
100,2008-06-20,14.8,15.14,14.8,14.9,1.196409,13900,AACG
101,2008-06-23,14.85,14.99,14.77,14.85,1.192395,51800,AACG
102,2008-06-24,14.76,14.8,14.61,14.8,1.18838,5900,AACG
103,2008-06-25,14.69,14.97,14.69,14.84,1.191592,1200,AACG
104,2008-06-26,14.75,14.79,13.91,14.3,1.148232,15700,AACG
105,2008-06-27,14.23,14.31,14.04,14.15,1.136188,14300,AACG
106,2008-06-30,14.06,14.07,13.0,13.01,1.04465,149200,AACG
107,2008-07-01,12.93,13.06,12.29,12.42,0.997276,76800,AACG
108,2008-07-02,12.4,12.6,12.3,12.31,0.988443,33400,AACG
109,2008-07-03,12.3,12.4,11.76,11.9,0.955522,39900,AACG
110,2008-07-07,11.9,11.95,10.48,10.72,0.860772,143000,AACG
111,2008-07-08,10.55,10.82,9.42,10.61,0.85194,50500,AACG
112,2008-07-09,10.61,12.69,10.61,12.58,1.010123,23000,AACG
113,2008-07-10,12.66,12.66,12.01,12.33,0.990049,4600,AACG
114,2008-07-11,12.1,12.63,12.09,12.63,1.014138,6400,AACG
115,2008-07-14,12.55,12.94,12.55,12.66,1.016547,1800,AACG
116,2008-07-15,12.5,12.5,12.15,12.25,0.983625,2100,AACG
117,2008-07-16,12.2,12.2,12.0,12.0,0.963551,700,AACG
118,2008-07-17,12.0,12.1,12.0,12.03,0.96596,1400,AACG
119,2008-07-18,12.03,12.03,11.97,11.97,0.961142,1900,AACG
120,2008-07-21,12.17,12.25,11.98,12.07,0.969172,11300,AACG
121,2008-07-22,12.2,15.45,12.18,15.28,1.226922,54800,AACG
122,2008-07-23,15.0,15.0,13.98,14.75,1.184365,14100,AACG
123,2008-07-24,14.4,14.4,14.0,14.31,1.149035,4700,AACG
124,2008-07-25,14.38,14.6,14.2,14.6,1.172321,2400,AACG
125,2008-07-28,14.78,15.0,14.0,15.0,1.204439,86200,AACG
126,2008-07-29,14.77,15.0,14.77,15.0,1.204439,53400,AACG
127,2008-07-30,14.95,15.0,14.8,14.98,1.202833,76800,AACG
128,2008-07-31,14.98,15.0,14.87,14.97,1.20203,16800,AACG
129,2008-08-01,15.0,15.0,14.95,14.99,1.203636,100200,AACG
130,2008-08-04,15.0,15.0,14.69,14.99,1.203636,46200,AACG
131,2008-08-05,14.74,15.41,14.74,15.06,1.209257,23800,AACG
132,2008-08-06,14.98,15.0,14.95,15.0,1.204439,58500,AACG
133,2008-08-07,15.0,15.0,14.09,14.45,1.160276,37000,AACG
134,2008-08-08,14.21,14.44,13.98,14.0,1.124143,20700,AACG
135,2008-08-11,14.0,14.0,12.78,13.25,1.063921,19500,AACG
136,2008-08-12,13.18,13.56,13.01,13.25,1.063921,6600,AACG
137,2008-08-13,13.4,13.51,13.33,13.5,1.083995,16400,AACG
138,2008-08-14,13.5,13.65,13.15,13.42,1.077571,31300,AACG
139,2008-08-15,13.5,13.5,13.2,13.35,1.071951,17900,AACG
140,2008-08-18,13.46,13.5,13.31,13.5,1.083995,14300,AACG
141,2008-08-19,13.5,13.5,13.01,13.05,1.047862,19900,AACG
142,2008-08-20,13.15,13.15,12.77,13.08,1.050271,14900,AACG
143,2008-08-21,13.0,13.2,13.0,13.04,1.047059,6800,AACG
144,2008-08-22,12.8,13.08,12.5,12.56,1.008517,12100,AACG
145,2008-08-25,12.5,12.7,11.61,11.63,0.933842,41600,AACG
